   100
       6       2       8    1.03E+00
       6      -2       8    7.69E-01
  33     ARSENIC         As   74.9216    347.0  5.7300E+00  12
       1       2   11867    2.63E-02
       2       2    1527    9.71E-02
       3       2    1359    4.91E-02
       4       4    1323    4.91E-02
       5       2     204    2.58E-01
       5       2     147    1.58E-01
       5       4     141    1.58E-01
       5       4      42    1.23E-01
       5       6      42    1.23E-01
       6       2      10    9.22E-01
       6      -2      10    6.74E-01
       6      -1      10    6.74E-01
  34     SELENIUM        Se   78.9600    348.0  4.5000E+00  12
       1       2   12658    2.55E-02
       2       2    1654    9.39E-02
       3       2    1476    4.75E-02
       4       4    1436    4.75E-02
       5       2     231    2.47E-01
       5       2     167    1.51E-01
       5       4     162    1.51E-01
       5       4      56    1.14E-01
       5       6      56    1.14E-01
       6       2      10    8.39E-01
       6      -2      10    6.04E-01
       6      -2      10    6.04E-01
  35     BROMINE         Br   79.9040    357.0  7.0722E-03  12
       1       2   13474    2.48E-02
       2       2    1782    9.09E-02
       3       2    1596    4.59E-02
       4       4    1550    4.59E-02
       5       2     257    2.36E-01
       5       2     189    1.44E-01
       5       4     182    1.44E-01
       5       4      70    1.07E-01
       5       6      69    1.07E-01
       6       2      27    7.72E-01
       6       2      12    5.49E-01
       6       3      12    5.49E-01
  36     KRYPTON         Kr   83.8000    352.0  3.4783E-03  12
       1       2   14326    2.34E-02
       2       2    1925    8.62E-02
       3       2    1731    4.33E-02
       4       4    1678    4.43E-02
       5       2     293    2.22E-01
       5       2     222    1.34E-01
       5       4     214    1.37E-01
       5       4      95    1.01E-01
       5       6      94    1.01E-01
       6       2      27    7.05E-01
       6       2      14    4.96E-01
       6       4      14    5.08E-01
  37     RUBIDIUM        Rb   85.4678    363.0  1.5320E+00  13
       1       2   15200    2.27E-02
       2       2    2065    8.35E-02
       3       2    1865    4.19E-02
       4       4    1805    4.29E-02
       5       2     321    2.13E-01
       5       2     248    1.29E-01
       5       4     239    1.31E-01
       5       4     112    9.50E-02
       5       6     111    9.57E-02
       6       2      29    6.31E-01
       6       2      14    4.33E-01
       6       4      14    4.43E-01
       6      -1       4    2.56E+00
  38     STRONTIUM       Sr   87.6200    366.0  2.5400E+00  13
       1       2   16105    2.21E-02
       2       2    2216    8.09E-02
       3       2    2007    4.06E-02
       4       4    1940    4.16E-02
       5       2     358    2.04E-01
       5       2     280    1.23E-01
       5       4     269    1.25E-01
       5       4     135    9.01E-02
       5       6     133    9.07E-02
       6       2      38    5.73E-01
       6       2      20    3.89E-01
       6       4      20    3.97E-01
       6      -2       6    2.06E+00
  39     YTTRIUM         Y    88.9059    379.0  4.4690E+00  13
       1       2   17039    2.15E-02
       2       2    2373    7.85E-02
       3       2    2155    3.94E-02
       4       4    2080    4.04E-02
       5       2     395    1.96E-01
       5       2     313    1.18E-01
       5       4     301    1.20E-01
       5       4     160    8.56E-02
       5       6     158    8.63E-02
       6       2      46    5.33E-01
       6       2      26    3.61E-01
       6       4      26    3.66E-01
       6      -3       6    1.42E+00
  40     ZIRCONIUM       Zr   91.2240    393.0  6.5060E+00  13
       1       2   18000    2.09E-02
       2       2    2534    7.62E-02
       3       2    2309    3.82E-02
       4       4    2225    3.92E-02
       5       2     433    1.89E-01
       5       2     347    1.14E-01
       5       4     333    1.16E-01
       5       4     185    8.16E-02
       5       6     182    8.23E-02
       6       2      54    5.01E-01
       6       2      31    3.39E-01
       6       4      31    3.42E-01
       6      -4       7    1.10E+00
  41     NIOBIUM         Nb   92.9064    417.0  8.5700E+00  14
       1       2   18983    2.03E-02
       2       2    2695    7.41E-02
       3       2    2462    3.71E-02
       4       4    2368    3.81E-02
       5       2     466    1.82E-01
       5       2     376    1.09E-01
       5       4     360    1.12E-01
       5       4     205    7.79E-02
       5       6     202    7.87E-02
       6       2      55    4.80E-01
       6       2      31    3.24E-01
       6       4      31    3.26E-01
       6       2       7    3.85E-01
       6      -3       7    1.88E+00
  42     MOLYBDENUM      Mo   95.9400    424.0  1.0220E+01  14
       1       2   20000    1.98E-02
       2       2    2866    7.20E-02
       3       2    2625    3.60E-02
       4       4    2520    3.71E-02
       5       2     505    1.76E-01
       5       2     410    1.05E-01
       5       4     393    1.08E-01
       5       4     230    7.47E-02
       5       6     226    7.54E-02
       6       2      62    4.56E-01
